# FC27 club name | display | short | abbr | stadium | capacity | city | founded | kit primary | kit secondary | ui theme
Racing Club|Racing Club|Racing|RAC|Estadio Presidente Perón|51389|Avellaneda|1903|#6CB4E4|#FFFFFF|#3B8FD0
Independiente|Independiente|Independiente|IND|Estadio Libertadores de América|42069|Avellaneda|1905|#E30613|#FFFFFF|#E30613
San Lorenzo de Almagro|San Lorenzo|San Lorenzo|SLO|Estadio Pedro Bidegain|47964|Buenos Aires|1908|#002D72|#E30613|#002D72
Huracán|Huracán|Huracán|HUR|Estadio Tomás Adolfo Ducó|48314|Buenos Aires|1908|#FFFFFF|#E30613|#E30613
Vélez Sarsfield|Vélez Sarsfield|Vélez|VEL|Estadio José Amalfitani|49540|Buenos Aires|1910|#FFFFFF|#0055A5|#0055A5
Estudiantes de La Plata|Estudiantes de La Plata|Estudiantes|EST|Estadio Jorge Luis Hirschi|30018|La Plata|1905|#E30613|#FFFFFF|#E30613
Gimnasia y Esgrima La Plata|Gimnasia La Plata|Gimnasia|GIM|Estadio Juan Carmelo Zerillo|21500|La Plata|1887|#FFFFFF|#002D72|#002D72
Rosario Central|Rosario Central|Rosario Central|CEN|Estadio Gigante de Arroyito|41654|Rosario|1889|#002D72|#FFD100|#002D72
Newell's Old Boys|Newell's Old Boys|Newell's|NOB|Estadio Marcelo Bielsa|42000|Rosario|1903|#E30613|#000000|#E30613
Talleres|Talleres|Talleres|TAL|Estadio Mario Alberto Kempes|57000|Córdoba|1913|#002D72|#FFFFFF|#002D72
Belgrano de Córdoba|Belgrano|Belgrano|BEL|Estadio Julio César Villagra|28000|Córdoba|1905|#6CB4E4|#FFFFFF|#3B8FD0
Lanús|Lanús|Lanús|LAN|Estadio Ciudad de Lanús|47027|Lanús|1915|#7A1E3A|#FFFFFF|#7A1E3A
CA Banfield|Banfield|Banfield|BAN|Estadio Florencio Sola|34901|Banfield|1896|#00843D|#FFFFFF|#00843D
Argentinos Juniors|Argentinos Juniors|Argentinos|ARG|Estadio Diego Armando Maradona|26000|Buenos Aires|1904|#E30613|#FFFFFF|#E30613
Tigre|Tigre|Tigre|TIG|Estadio José Dellagiovanna|26282|Victoria|1902|#002D72|#E30613|#002D72
Platense|Platense|Platense|PLA|Estadio Ciudad de Vicente López|28530|Florida|1905|#5E3A1F|#FFFFFF|#6B4226
Defensa y Justicia|Defensa y Justicia|Defensa|DYJ|Estadio Norberto Tomaghello|18000|Florencio Varela|1935|#FFD100|#00843D|#00843D
Atlético Tucumán|Atlético Tucumán|Atl. Tucumán|ATU|Estadio Monumental José Fierro|35200|San Miguel de Tucumán|1902|#6CB4E4|#FFFFFF|#3B8FD0
Club Atlético Unión|Unión de Santa Fe|Unión|UNI|Estadio 15 de Abril|28000|Santa Fe|1907|#E30613|#FFFFFF|#E30613
CA Aldosivi|Aldosivi|Aldosivi|ALD|Estadio José María Minella|35354|Mar del Plata|1913|#00843D|#FFD100|#00843D
Instituto Atlético Central Córdoba|Instituto|Instituto|INS|Estadio Juan Domingo Perón|26535|Córdoba|1918|#E30613|#FFFFFF|#E30613
Club Atlético Sarmiento|Sarmiento|Sarmiento|SAR|Estadio Eva Perón|22000|Junín|1911|#00843D|#FFFFFF|#00843D
Independiente Rivadavia|Independiente Rivadavia|Ind. Rivadavia|IRI|Estadio Bautista Gargantini|24000|Mendoza|1913|#002D72|#FFFFFF|#002D72
Olympiacos FC|Olympiacos|Olympiacos|OLY|Georgios Karaiskakis Stadium|32115|Piraeus|1925|#E30613|#FFFFFF|#E30613
Panathinaikos FC|Panathinaikos|Panathinaikos|PAO|Apostolos Nikolaidis Stadium|16003|Athens|1908|#00843D|#FFFFFF|#00843D
AEK Athens|AEK Athens|AEK|AEK|OPAP Arena|32500|Athens|1924|#FFD100|#000000|#E0B800
PAOK|PAOK|PAOK|PAOK|Toumba Stadium|28703|Thessaloniki|1926|#000000|#FFFFFF|#1A1A1A
GNK Dinamo Zagreb|Dinamo Zagreb|Dinamo Zagreb|DZG|Stadion Maksimir|24851|Zagreb|1945|#0055A5|#FFFFFF|#0055A5
Hajduk Split|Hajduk Split|Hajduk|HAJ|Stadion Poljud|33987|Split|1911|#FFFFFF|#0055A5|#0055A5
SK Slavia Praha|SK Slavia Praha|Slavia|SLA|Fortuna Arena|19370|Prague|1892|#E30613|#FFFFFF|#E30613
Sparta Praha|AC Sparta Praha|Sparta|SPA|epet ARENA|18349|Prague|1893|#7A1E3A|#FFFFFF|#7A1E3A
Viktoria Plzeň|FC Viktoria Plzeň|Plzeň|PLZ|Doosan Arena|11700|Plzeň|1911|#E30613|#0055A5|#E30613
Dynamo Kyiv|Dynamo Kyiv|Dynamo Kyiv|DYN|NSC Olimpiyskiy|70050|Kyiv|1927|#FFFFFF|#0055A5|#0055A5
Shakhtar Donetsk|Shakhtar Donetsk|Shakhtar|SHK|Arena Lviv|34915|Donetsk|1936|#F58113|#000000|#F07000
APOEL FC|APOEL|APOEL|APO|GSP Stadium|22859|Nicosia|1926|#FFD100|#0055A5|#0055A5
Omonoia FC|Omonoia|Omonoia|OMO|GSP Stadium|22859|Nicosia|1948|#00843D|#FFFFFF|#00843D
Ferencvárosi Torna Club|Ferencváros|Ferencváros|FTC|Groupama Aréna|22000|Budapest|1899|#00843D|#FFFFFF|#00843D
Qarabağ FK|Qarabağ FK|Qarabağ|QAR|Tofiq Bahramov Republican Stadium|31200|Baku|1951|#000000|#FFFFFF|#1A1A1A
HJK Helsinki|HJK Helsinki|HJK|HJK|Bolt Arena|10770|Helsinki|1907|#0055A5|#FFFFFF|#0055A5
Ludogorets|Ludogorets Razgrad|Ludogorets|LUD|Huvepharma Arena|10422|Razgrad|2001|#00843D|#FFFFFF|#00843D
Al Ain|Al Ain FC|Al Ain|AIN|Hazza bin Zayed Stadium|25053|Al Ain|1968|#5B2A86|#FFFFFF|#5B2A86
Flamengo|Flamengo|Flamengo|FLA|Maracanã|78838|Rio de Janeiro|1895|#E30613|#000000|#E30613
Palmeiras|Palmeiras|Palmeiras|PAL|Allianz Parque|43713|São Paulo|1914|#006437|#FFFFFF|#006437
Corinthians|Corinthians|Corinthians|COR|Neo Química Arena|49205|São Paulo|1910|#FFFFFF|#000000|#1A1A1A
São Paulo|São Paulo FC|São Paulo|SAO|MorumBIS|66795|São Paulo|1930|#FFFFFF|#E30613|#E30613
Santos|Santos FC|Santos|SAN|Vila Belmiro|16068|Santos|1912|#FFFFFF|#000000|#1A1A1A
Fluminense|Fluminense|Fluminense|FLU|Maracanã|78838|Rio de Janeiro|1902|#7A1E3A|#00843D|#7A1E3A
Botafogo|Botafogo|Botafogo|BOT|Estádio Nilton Santos|44661|Rio de Janeiro|1904|#000000|#FFFFFF|#1A1A1A
Vasco da Gama|Vasco da Gama|Vasco|VAS|São Januário|21880|Rio de Janeiro|1898|#000000|#FFFFFF|#1A1A1A
Atlético Mineiro|Atlético Mineiro|Atlético-MG|CAM|Arena MRV|46000|Belo Horizonte|1908|#000000|#FFFFFF|#1A1A1A
Cruzeiro|Cruzeiro|Cruzeiro|CRU|Mineirão|61927|Belo Horizonte|1921|#0033A0|#FFFFFF|#0033A0
Grêmio|Grêmio|Grêmio|GRE|Arena do Grêmio|55662|Porto Alegre|1903|#0D80BF|#000000|#0D80BF
Bahia|EC Bahia|Bahia|BAH|Arena Fonte Nova|47907|Salvador|1931|#0055A5|#E30613|#0055A5
Red Bull Bragantino|Red Bull Bragantino|Bragantino|RBB|Estádio Nabi Abi Chedid|17022|Bragança Paulista|1928|#FFFFFF|#E30613|#E30613
Mirassol|Mirassol FC|Mirassol|MIR|Estádio José Maria de Campos Maia|15000|Mirassol|1925|#FFD100|#00843D|#00843D
Peñarol|Peñarol|Peñarol|PEN|Estadio Campeón del Siglo|40005|Montevideo|1891|#FFD100|#000000|#E0B800
Club Nacional de Football|Nacional|Nacional|NAC|Gran Parque Central|34000|Montevideo|1899|#FFFFFF|#0033A0|#0033A0
Sydney FC|Sydney FC|Sydney|SYD|Allianz Stadium|42500|Sydney|2004|#6CB4E4|#002D72|#3B8FD0
Melbourne Victory|Melbourne Victory|Melbourne V.|MVC|AAMI Park|30050|Melbourne|2004|#002D72|#FFFFFF|#002D72
Melbourne City FC|Melbourne City|Melbourne City|MCY|AAMI Park|30050|Melbourne|2009|#6CB4E4|#FFFFFF|#3B8FD0
Western Sydney Wanderers|Western Sydney Wanderers|WS Wanderers|WSW|CommBank Stadium|30000|Sydney|2012|#E30613|#000000|#E30613
Auckland FC|Auckland FC|Auckland|AKL|Go Media Stadium|25000|Auckland|2024|#0033A0|#FF7A00|#0033A0
Adelaide United|Adelaide United|Adelaide|ADE|Coopers Stadium|16500|Adelaide|2003|#E30613|#FFFFFF|#E30613
Brisbane Roar|Brisbane Roar|Brisbane|BRI|Suncorp Stadium|52500|Brisbane|2005|#F58113|#002D72|#F07000
Wellington Phoenix|Wellington Phoenix|Wellington|WEL|Sky Stadium|34500|Wellington|2007|#FFD100|#000000|#E0B800
Perth Glory|Perth Glory|Perth|PER|HBF Park|20500|Perth|1995|#5B2A86|#F58113|#5B2A86
Newcastle Jets|Newcastle Jets|Newcastle J.|NEW|McDonald Jones Stadium|33000|Newcastle|2000|#0033A0|#FFD100|#0033A0
Central Coast Mariners|Central Coast Mariners|CC Mariners|CCM|Industree Group Stadium|20059|Gosford|2004|#FFD100|#002D72|#002D72
Macarthur FC|Macarthur FC|Macarthur|MAC|Campbelltown Stadium|17500|Campbelltown|2017|#000000|#C5A252|#1A1A1A
FC Seoul|FC Seoul|FC Seoul|SEO|Seoul World Cup Stadium|66704|Seoul|1983|#E30613|#000000|#E30613
Ulsan HD FC|Ulsan HD FC|Ulsan|ULS|Munsu Football Stadium|37897|Ulsan|1983|#0055A5|#FFD100|#0055A5
Jeonbuk Hyundai Motors|Jeonbuk Hyundai Motors|Jeonbuk|JEO|Jeonju World Cup Stadium|42477|Jeonju|1994|#00843D|#FFFFFF|#00843D
Pohang Steelers|Pohang Steelers|Pohang|POH|Pohang Steel Yard|17443|Pohang|1973|#E30613|#000000|#E30613
Shanghai Port|Shanghai Port|Shanghai Port|SHP|Pudong Football Stadium|37000|Shanghai|2005|#E30613|#FFFFFF|#E30613
Shanghai Shenhua|Shanghai Shenhua|Shenhua|SHS|Shanghai Stadium|72000|Shanghai|1993|#0033A0|#FFFFFF|#0033A0
Beijing Guoan|Beijing Guoan|Beijing Guoan|BGA|Workers' Stadium|68000|Beijing|1992|#00843D|#FFFFFF|#00843D
Shandong Taishan|Shandong Taishan|Shandong|SDT|Jinan Olympic Sports Center Stadium|56808|Jinan|1993|#F58113|#FFFFFF|#F07000
